"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/progress.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/select.tsx", "TypeScript JSX", 0, 174, 0, 0, 0, 0, 0, 0, 0, 14, 188
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/separator.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/sonner.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/switch.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/tabs.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/ui/tooltip.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/components/workspace-selector.tsx", "TypeScript JSX", 0, 363, 0, 0, 0, 0, 0, 0, 19, 32, 414
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/lib/api.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 23, 20, 212
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/lib/image-converter.ts", "TypeScript", 173, 0, 0, 0, 0, 0, 0, 0, 40, 37, 250
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/lib/tools.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 3, 88
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
